np,rep,request,phase,port,prompt_tokens,tokens,ttft_s,wall_s,itl_s,request_tps,stop,error
16,0,3,measure,18116,24,128,0.4494514465332031,12.811317682266235,0.09733752941522072,9.991165871811999,True,
16,0,4,measure,18116,24,128,0.4508488178253174,12.812523365020752,0.09733602005665697,9.99022568414982,True,
16,0,5,measure,18116,24,128,0.4499819278717041,12.811742544174194,0.09733669776616134,9.990834545625853,True,
16,0,6,measure,18116,24,128,0.44928431510925293,12.811187267303467,0.09733781852121429,9.991267579600512,True,
16,0,7,measure,18116,24,128,0.45352602005004883,12.81469178199768,0.0973320138736034,9.988535204554573,True,
16,0,8,measure,18116,24,128,0.45093321800231934,12.812523603439331,0.09733535736564576,9.990225498249252,True,
16,0,9,measure,18116,24,128,0.4520225524902344,12.813330888748169,0.09733313650596799,9.989596078596648,True,
16,0,10,measure,18116,25,128,0.44925403594970703,12.81104826927185,0.0973369624671035,9.991375983417102,True,
16,0,11,measure,18116,25,128,0.4510157108306885,12.81253719329834,0.09733481482257993,9.990214901928326,True,
16,0,12,measure,18116,25,128,0.4521169662475586,12.813452959060669,0.09733335427411897,9.989500910407482,True,
16,0,13,measure,18116,25,128,0.45261335372924805,12.813769340515137,0.0973319369038259,9.989254262232112,True,
16,0,14,measure,18116,25,128,0.45273709297180176,12.813908815383911,0.09733206080639456,9.989145532729863,True,
16,0,15,measure,18116,25,128,0.45298051834106445,12.81430459022522,0.09733326040853665,9.9888370140381,True,
16,1,0,measure,18116,24,128,0.6021556854248047,12.06807255744934,0.09028281001594123,10.606499040394697,True,
16,1,1,measure,18116,24,128,0.6020443439483643,12.067879915237427,0.09028216985266978,10.606668354263425,True,
16,1,2,measure,18116,24,128,0.6024343967437744,12.06820297241211,0.09028164232809713,10.60638442132667,True,
16,1,3,measure,18116,24,128,0.5996077060699463,12.065550804138184,0.09028301652022235,10.608715845454746,True,
16,1,4,measure,18116,24,128,0.6012551784515381,12.067144393920898,0.09028259224779024,10.607314856071744,True,
16,1,5,measure,18116,24,128,0.6003444194793701,12.066300868988037,0.09028312164967454,10.60805638693932,True,
16,1,6,measure,18116,24,128,0.6002569198608398,12.066261529922485,0.09028350086662713,10.608090971887155,True,
16,1,7,measure,18116,24,128,0.6039154529571533,12.069511651992798,0.09028028503177672,10.605234386501952,True,
16,1,8,measure,18116,24,128,0.601233720779419,12.06721568107605,0.09028332252202072,10.607252193290215,True,
16,1,9,measure,18116,24,128,0.6025359630584717,12.068294763565063,0.09028156535831962,10.606303749427799,True,
16,1,10,measure,18116,25,128,0.6002564430236816,12.066227674484253,0.09028323804299662,10.608120736083418,True,
16,1,11,measure,18116,25,128,0.6010520458221436,12.066973447799683,0.09028284568486251,10.607465124019129,True,
16,1,12,measure,18116,25,128,0.6029355525970459,12.068624019622803,0.09028101155138392,10.606014388374373,True,
16,1,13,measure,18116,25,128,0.603069543838501,12.068711996078491,0.09028064923023614,10.605937074444338,True,
16,1,14,measure,18116,25,128,0.6031467914581299,12.068821668624878,0.09028090454462007,10.60584069551376,True,
16,1,15,measure,18116,25,128,0.6034023761749268,12.06918215751648,0.09028173056174452,10.605523914500187,True,
16,2,0,measure,18116,24,128,0.5889666080474854,12.157548427581787,0.09109119542940396,10.528438423457715,True,
16,2,1,measure,18116,24,128,0.5893328189849854,12.157866954803467,0.09109081996707466,10.528162586071755,True,
16,2,2,measure,18116,24,128,0.587914228439331,12.156497716903687,0.09109120857058547,10.529348417679147,True,
16,2,3,measure,18116,24,128,0.5865781307220459,12.155577898025513,0.09109448635672021,10.530145178929883,True,
16,2,4,measure,18116,24,128,0.5869443416595459,12.155582904815674,0.09109164222957582,10.530140841644894,True,
16,2,5,measure,18116,24,128,0.5871772766113281,12.155995845794678,0.0910930595998689,10.529783131201146,True,
16,2,6,measure,18116,24,128,0.5865352153778076,12.155208349227905,0.09109191443976455,10.530465321734326,True,
16,2,7,measure,18116,24,128,0.5902941226959229,12.158612489700317,0.0910891210000346,10.527517026176309,True,
16,2,8,measure,18116,24,128,0.5880513191223145,12.156739234924316,0.09109203083308663,10.529139231042894,True,
16,2,9,measure,18116,24,128,0.5886991024017334,12.157256126403809,0.09109100018899272,10.528691562399713,True,
16,2,10,measure,18116,25,128,0.5870628356933594,12.15586256980896,0.09109291129224882,10.529898578971153,True,
16,2,11,measure,18116,25,128,0.5877361297607422,12.15638518333435,0.09109172483128826,10.529445889513278,True,
16,2,12,measure,18116,25,128,0.5894911289215088,12.157856702804565,0.09108949270774061,10.528171463846341,True,
16,2,13,measure,18116,25,128,0.5896310806274414,12.157968282699585,0.09108926930765468,10.528074841430543,True,
16,2,14,measure,18116,25,128,0.5894932746887207,12.15786075592041,0.09108950772623378,10.528167954026692,True,
16,2,15,measure,18116,25,128,0.5901286602020264,12.158592700958252,0.0910902680374506,10.52753416025787,True,
