date,system,model,tool_route,concurrency,n,mean_aggregate_decode_tps,stddev_aggregate_decode_tps,min_aggregate_decode_tps,max_aggregate_decode_tps,max_temp_c,mean_avg_ppt_w,source
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density-dense16,4,1,123.131,n/a,123.131,123.131,81.0,95.407,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density-dense16,8,3,144.758,0.345,144.546,145.157,81.0,92.311,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density-dense16,9,3,142.721,0.296,142.384,142.939,81.0,92.311,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density-dense16,12,3,144.968,0.384,144.555,145.314,81.0,92.311,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density-dense16,16,3,131.076,0.096,131.000,131.183,81.0,92.311,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density-dense16,24,1,166.304,n/a,166.304,166.304,83.0,95.563,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density-dense16,32,1,176.585,n/a,176.585,176.585,83.0,95.563,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density-dense16,48,1,180.899,n/a,180.899,180.899,81.0,92.456,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density-dense16,64,1,194.495,n/a,194.495,194.495,83.0,101.091,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-stock,1,1,64.022,n/a,64.022,64.022,82.0,97.037,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-stock,2,1,90.054,n/a,90.054,90.054,82.0,97.037,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-stock,4,1,122.160,n/a,122.160,122.160,82.0,97.037,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-stock,8,3,144.880,0.240,144.611,145.073,82.0,92.955,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-stock,9,3,100.153,0.125,100.022,100.270,82.0,92.955,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-stock,12,3,113.261,0.062,113.190,113.303,82.0,92.955,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-stock,16,3,126.610,0.115,126.487,126.713,82.0,92.955,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-stock,24,1,148.231,n/a,148.231,148.231,82.0,96.689,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-stock,32,1,162.916,n/a,162.916,162.916,82.0,96.689,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-stock,48,1,164.889,n/a,164.889,164.889,78.0,90.972,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-stock,64,1,186.372,n/a,186.372,186.372,81.0,98.368,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-16,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b10034-stock-sentinel,8,3,232.692,4.970,226.995,236.140,79.0,113.504,data/raw/2026-07-16/llamacpp-b10034-vulkan-sentinel
2026-07-16,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b10034-stock-sentinel,9,3,145.795,0.167,145.613,145.941,79.0,113.504,data/raw/2026-07-16/llamacpp-b10034-vulkan-sentinel
2026-07-16,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b10034-stock-sentinel,8,3,144.607,2.760,141.542,146.896,76.0,72.319,data/raw/2026-07-16/llamacpp-b10034-vulkan-sentinel
2026-07-16,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b10034-stock-sentinel,9,3,98.781,0.389,98.486,99.222,76.0,72.319,data/raw/2026-07-16/llamacpp-b10034-vulkan-sentinel
