np,rep,request,phase,port,prompt_tokens,tokens,ttft_s,wall_s,itl_s,request_tps,stop,error
8,0,5,measure,18208,13,128,0.3798348903656006,5.896039247512817,0.04343467997753714,21.70948913781323,True,
8,0,6,measure,18208,13,128,0.3797011375427246,5.8963658809661865,0.04343830506632647,21.708286524957938,True,
8,0,7,measure,18208,14,128,0.3791494369506836,5.89476752281189,0.043430063668198474,21.71417269716892,True,
8,1,0,measure,18208,11,128,0.43685317039489746,5.9617884159088135,0.04350342713003084,21.470067548596106,True,
8,1,1,measure,18208,11,128,0.4353017807006836,5.959002494812012,0.04349370641032542,21.48010512018388,True,
8,1,2,measure,18208,12,128,0.4353752136230469,5.959745407104492,0.043498977901428704,21.477427516855634,True,
8,1,3,measure,18208,13,128,0.43512940406799316,5.958843946456909,0.04349381529440091,21.480676646366614,True,
8,1,4,measure,18208,11,128,0.4347984790802002,5.9591639041900635,0.043498940355195775,21.479523311986675,True,
8,1,5,measure,18208,11,128,0.4347498416900635,5.960021257400513,0.04350607413945236,21.47643346759265,True,
8,1,6,measure,18208,12,128,0.43410325050354004,5.95886492729187,0.043502060447152206,21.48060101408814,True,
8,1,7,measure,18208,14,128,0.43352842330932617,5.958091735839844,0.04350049852386234,21.483388587328843,True,
8,2,0,measure,18208,15,128,0.33270859718322754,5.879991054534912,0.04367938942796602,21.76874060059678,True,
8,2,1,measure,18208,11,128,0.32923173904418945,5.876158952713013,0.04367659223361278,21.782936954233108,True,
8,2,2,measure,18208,11,128,0.32920002937316895,5.877050161361694,0.04368385930699626,21.779633742370986,True,
8,2,3,measure,18208,12,128,0.3297860622406006,5.877293348312378,0.04368115973284864,21.778732558373026,True,
8,2,4,measure,18208,10,128,0.3295106887817383,5.877152681350708,0.0436822204139289,21.77925382237689,True,
8,2,5,measure,18208,13,128,0.32796573638916016,5.875716209411621,0.04368307459072804,21.78457832850603,True,
8,2,6,measure,18208,13,128,0.32892775535583496,5.876630544662476,0.04368269912839875,21.7811889019053,True,
8,2,7,measure,18208,14,128,0.32896924018859863,5.876637697219849,0.04368242879552165,21.781162391643598,True,
16,-1,0,warmup,18216,15,128,0.08258962631225586,1.448061466217041,0.01075174677090382,88.39403781276704,True,
16,0,0,measure,18216,15,128,0.47795772552490234,15.50171184539795,0.11829727653443343,8.25715258266782,True,
16,0,1,measure,18216,11,128,0.4776115417480469,15.50051474571228,0.1182905764091672,8.25779027986197,True,
16,0,2,measure,18216,11,128,0.4770927429199219,15.498835563659668,0.11828143953338383,8.25868494921795,True,
16,0,3,measure,18216,12,128,0.47667455673217773,15.497717380523682,0.1182759277463898,8.259280825501463,True,
16,0,4,measure,18216,10,128,0.47673892974853516,15.4996178150177,0.11829038492337925,8.258268141036343,True,
16,0,5,measure,18216,13,128,0.47553420066833496,15.49602460861206,0.11827157801530493,8.26018306197467,True,
16,0,6,measure,18216,13,128,0.47554945945739746,15.496315002441406,0.11827374443294496,8.26002826993604,True,
16,0,7,measure,18216,14,128,0.47478175163269043,15.494635343551636,0.11826656371589721,8.260923678547197,True,
16,0,8,measure,18216,11,128,0.47404050827026367,15.492436408996582,0.1182550858324907,8.262096201064242,True,
16,0,9,measure,18216,11,128,0.4740152359008789,15.493565797805786,0.11826417765279454,8.261493943384387,True,
16,0,10,measure,18216,12,128,0.4731099605560303,15.491148233413696,0.11825226986502099,8.262783240554748,True,
16,0,11,measure,18216,13,128,0.47263574600219727,15.489869356155396,0.11824593393821416,8.263465433885994,True,
16,0,12,measure,18216,11,128,0.47191691398620605,15.48922061920166,0.11824648586783822,8.263811533636567,True,
16,0,13,measure,18216,11,128,0.4711003303527832,15.487426519393921,0.1182387888900877,8.264768832944178,True,
16,0,14,measure,18216,12,128,0.4713270664215088,15.487974882125854,0.11824132138349878,8.264476212943789,True,
16,0,15,measure,18216,14,128,0.47033071517944336,15.485670566558838,0.11823102245180625,8.265705992507344,True,
16,1,0,measure,18216,15,128,0.6398353576660156,15.868754386901855,0.11991274826169952,8.066165552707263,True,
16,1,1,measure,18216,11,128,0.6378152370452881,15.867140293121338,0.11991594532343346,8.06698608793987,True,
16,1,2,measure,18216,11,128,0.6343178749084473,15.864479303359985,0.11992253093268927,8.068339184185547,True,
16,1,3,measure,18216,12,128,0.6328365802764893,15.863083362579346,0.11992320301025872,8.069049192665096,True,
16,1,4,measure,18216,10,128,0.6338098049163818,15.86332893371582,0.1199174734551137,8.068924280322372,True,
16,1,5,measure,18216,13,128,0.6278469562530518,15.85859990119934,0.11992718854288417,8.071330432538355,True,
16,1,6,measure,18216,13,128,0.6276748180389404,15.858423709869385,0.11992715662858618,8.071420107178751,True,
16,1,7,measure,18216,14,128,0.6242961883544922,15.855439186096191,0.11993025982473779,8.072939418306659,True,
16,1,8,measure,18216,11,128,0.62091064453125,15.852601051330566,0.11993457013227808,8.074384738853722,True,
16,1,9,measure,18216,11,128,0.6207962036132812,15.852006196975708,0.11993078734931045,8.074687734125426,True,
16,1,10,measure,18216,12,128,0.6175177097320557,15.849598169326782,0.1199376414141317,8.07591452051537,True,
